Country Code,Entity,Population,Internet Access (%),Eating Disorder(%),Depressive Disorder (%),Combined Suicide Rate,Male Suicide Rate,Female Suicide Rate
NZL,New Zealand,4959033,90.1999969482422,0.67,4.12,10.2951,15.3934,5.41
OMN,Oman,4602769,90.3000030517578,0.28,4.13,4.47,6.43,1.12
PAK,Pakistan,223293280,17.07090187072754,0.13,4.1,9.77,14.5505,4.75
PAN,Panama,4232538,63.628414154052734,0.3,3.12,2.86,4.8,0.982
PER,Peru,32824864,59.95050048828125,0.31,2.33,2.73,4.1,1.38
PHL,Philippines,110380800,43.026611328125,0.11,2.89,2.54,3.88,1.32
POL,Poland,38493600,80.43590545654297,0.2,2.48,9.3,16.4633,2.43
PRT,Portugal,10289921,75.34637451171875,0.46,4.81,7.22,11.5839,3.46
PRY,Paraguay,6530029,68.51763153076172,0.23,3.9,6.16,9.0,3.26
QAT,Qatar,2807242,99.65280151367188,0.37,4.21,4.66,5.66,1.69
ROU,Romania,19524212,73.65747833251953,0.17,2.83,7.33,12.6242,2.37
RUS,Russia,145742288,82.64215850830078,0.17,3.32,21.5962,38.1786,7.23
RWA,Rwanda,12835029,26.0,0.1,5.25,9.45,14.7642,5.04
SAU,Saudi Arabia,35827364,95.72473907470705,0.29,4.42,5.43,7.79,1.91
SDN,Sudan,43232092,25.899999618530277,0.15,4.61,4.76,6.34,3.26
SEN,Senegal,16000783,39.5,0.11,4.1,10.9934,18.5345,5.18
SLE,Sierra Leone,8046830,16.799999237060547,0.09,4.46,11.2529,14.7957,8.18
SLV,El Salvador,6280222,50.49119186401367,0.21,3.6,6.11,11.1394,2.08
SRB,Serbia,7401056,77.4167709350586,0.15,3.02,7.86,12.2182,3.89
SSD,South Sudan,10447677,5.599999904632568,0.16,4.85,6.69,10.3786,3.38
STP,Sao Tome and Principe,214612,32.0,0.11,3.83,2.2,3.34,1.15
SUR,Suriname,600305,68.75,0.24,4.89,25.8913,41.3291,11.7912
SVK,Slovakia,5453932,82.8536605834961,0.2,2.9,9.31,16.7059,2.58
SVN,Slovenia,2112905,83.10836029052734,0.2,3.37,13.9658,22.6666,5.54
SWE,Sweden,10267922,94.49344635009766,0.56,4.47,12.3731,16.9462,7.73
SYC,Seychelles,104386,75.0,0.16,2.79,7.73,14.0023,1.33
SYR,Syria,20098252,34.650001525878906,0.17,4.35,2.11,3.51,0.753
TCD,Chad,16126868,9.800000190734863,0.1,5.22,13.2237,20.2075,6.88
TGO,Togo,8243093,19.299999237060547,0.09,4.58,14.8097,23.9862,6.45
THA,Thailand,71307768,66.65242004394531,0.14,2.99,7.95,13.8679,2.3
TLS,Timor,1280442,29.0,0.1,2.89,4.53,6.69,2.42
TUN,Tunisia,12049319,66.69999694824219,0.22,5.34,3.18,4.6,1.84
TUR,Turkey,83481688,73.97669982910156,0.31,4.16,2.34,3.59,1.19
TZA,Tanzania,59872584,20.0,0.11,4.77,8.15,13.5032,3.74
UGA,Uganda,42949076,14.699999809265137,0.1,6.69,10.4467,19.3883,3.7
UKR,Ukraine,44211100,70.12484741210938,0.13,4.2,17.7287,32.7041,4.65
URY,Uruguay,3428412,83.35153198242188,0.38,3.07,18.8276,31.1222,7.67
USA,United States,334319680,89.43028259277344,0.46,4.73,14.5111,22.3985,6.77
UZB,Uzbekistan,32976946,70.4000015258789,0.12,3.34,8.28,11.8412,4.93
VNM,Vietnam,95776712,68.66158294677734,0.1,2.58,7.22,10.5563,4.18
ZAF,South Africa,58087060,68.19999694824219,0.17,4.45,23.4856,37.8794,9.83
ZMB,Zambia,18380478,16.799999237060547,0.12,4.3,14.4258,25.7417,5.28
ZWE,Zimbabwe,15354606,25.100000381469727,0.1,3.55,7.19,9.65,4.81
